 입력   작업시간   반복횟수
 0   0.000000     7757101
 10   0.000000     708259
 20   0.000000     141254
 30   0.000000     81752
 40   0.000000     45671
 50   0.000000     29567
 60   0.000000     19070
 70   0.000000     14059
 80   0.000000     11304
 90   0.000000     8976
 100   0.000000     7075
 200   0.000000     1848
 300   0.001000     839
 400   0.002000     458
 500   0.003000     301
 600   0.005000     197
 700   0.006000     143
 800   0.006000     112
 900   0.014000     78
 1000   0.012000     70
 1100   0.017000     57
 1200   0.028000     42
 1300   0.027000     44
 1400   0.033000     37
 1500   0.030000     33
 1600   0.040000     29
 1700   0.044000     25
 1800   0.045000     22
 1900   0.046000     20
 2000   0.054000     15
