 입력   작업시간   반복횟수
 0   0.000000     8995819
 10   0.000000     501175
 20   0.000000     172900
 30   0.000000     89679
 40   0.000000     56608
 50   0.000000     36513
 60   0.000000     27546
 70   0.000000     25883
 80   0.000000     13678
 90   0.000000     12671
 100   0.000000     10542
 200   0.000000     2902
 300   0.000000     1356
 400   0.001000     765
 500   0.002000     498
 600   0.003000     327
 700   0.003000     254
 800   0.006000     194
 900   0.007000     152
 1000   0.009000     123
 1100   0.009000     103
 1200   0.010000     88
 1300   0.016000     75
 1400   0.018000     69
 1500   0.020000     58
 1600   0.023000     52
 1700   0.023000     47
 1800   0.049000     42
 1900   0.031000     39
 2000   0.036000     34
